,PERSON_ID,GAME_DATE
0,1630173,APR 18 2022 07:30 PM
1,203500,APR 19 2022 08:30 PM
2,1628389,APR 19 2022 07:30 PM
3,1630583,APR 19 2022 08:30 PM
4,200746,APR 20 2022 07:00 PM
5,1629638,APR 18 2022 08:30 PM
6,1628960,APR 20 2022 09:30 PM
7,1628386,Empty
8,1630631,APR 19 2022 10:00 PM
9,203937,APR 19 2022 08:30 PM
10,203507,APR 20 2022 09:30 PM
11,203648,APR 20 2022 09:30 PM
12,2546,Empty
13,1630175,Empty
14,1628384,APR 18 2022 07:30 PM
15,1627853,Empty
16,201571,Empty
17,1630166,Empty
18,1629028,APR 19 2022 10:00 PM
19,1628962,APR 18 2022 08:30 PM
20,1628963,Empty
21,1630163,Empty
22,1628366,APR 20 2022 09:30 PM
23,1628964,Empty
24,1630217,APR 19 2022 08:30 PM
25,1630625,APR 18 2022 07:30 PM
26,203084,Empty
27,1630567,APR 18 2022 07:30 PM
28,1629628,Empty
29,203115,APR 18 2022 10:00 PM
30,1629646,APR 18 2022 07:30 PM
31,1628966,Empty
32,201587,Empty
33,203145,Empty
34,1629647,Empty
35,203078,Empty
36,1627736,APR 19 2022 08:30 PM
37,202722,APR 18 2022 08:30 PM
38,201976,APR 19 2022 08:30 PM
39,1630180,Empty
40,203920,APR 18 2022 07:30 PM
41,1629048,Empty
42,202687,APR 19 2022 10:00 PM
43,202357,APR 18 2022 10:00 PM
44,202339,Empty
45,1629833,Empty
46,203992,APR 19 2022 07:30 PM
47,202711,APR 18 2022 08:30 PM
48,1629626,Empty
49,1630195,APR 19 2022 08:30 PM
50,1629067,APR 18 2022 07:30 PM
51,1626164,APR 19 2022 10:00 PM
52,1630527,Empty
53,1628449,APR 18 2022 07:30 PM
54,1630547,Empty
55,202340,Empty
56,1628396,APR 20 2022 09:30 PM
57,1629649,Empty
58,1628969,APR 19 2022 10:00 PM
59,1628970,Empty
60,1629052,Empty
61,1627763,Empty
62,1629717,APR 18 2022 07:30 PM
