,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
600,1629057,Robert Williams III,Celtics,1610612738,BOS
601,1629627,Zion Williamson,Pelicans,1610612740,NOP
603,1629685,Dylan Windler,Cavaliers,1610612739,CLE
604,1626159,Justise Winslow,Trail Blazers,1610612757,POR
605,1630216,Cassius Winston,Wizards,1610612764,WAS
606,1630164,James Wiseman,Warriors,1610612744,GSW
607,1626174,Christian Wood,Rockets,1610612745,HOU
608,1630218,Robert Woodard II,Spurs,1610612759,SAS
609,1626153,Delon Wright,Hawks,1610612737,ATL
610,1630589,Moses Wright,Mavericks,1610612742,DAL
611,1630593,McKinley Wright IV,Timberwolves,1610612750,MIN
612,1628221,Gabe York,Pacers,1610612754,IND
613,201152,Thaddeus Young,Raptors,1610612761,TOR
614,1629027,Trae Young,Hawks,1610612737,ATL
615,1630209,Omer Yurtseven,Heat,1610612748,MIA
617,1627826,Ivica Zubac,Clippers,1610612746,LAC
