,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
430,203482,Kelly Olynyk,Pistons,1610612765,DET
433,1626224,Cedi Osman,Cavaliers,1610612739,CLE
435,1626162,Kelly Oubre Jr.,Hornets,1610612766,CHA
440,1629672,Eric Paschall,Jazz,1610612762,UTA
441,101108,Chris Paul,Suns,1610612756,PHX
442,1626166,Cameron Payne,Suns,1610612756,PHX
443,203901,Elfrid Payton,Suns,1610612756,PHX
444,1627780,Gary Payton II,Warriors,1610612744,GSW
447,1630691,Jamorko Pickett,Pistons,1610612765,DET
448,1629033,Theo Pinson,Mavericks,1610612742,DAL
449,203486,Mason Plumlee,Hornets,1610612766,CHA
450,1627751,Jakob Poeltl,Spurs,1610612759,SAS
451,1630197,Aleksej Pokusevski,Thunder,1610612760,OKC
452,1630582,Yves Pons,Grizzlies,1610612763,MEM
453,1629673,Jordan Poole,Warriors,1610612744,GSW
454,1629645,Kevin Porter Jr.,Rockets,1610612745,HOU
455,1629008,Michael Porter Jr.,Nuggets,1610612743,DEN
456,203490,Otto Porter Jr.,Warriors,1610612744,GSW
457,1626171,Bobby Portis,Bucks,1610612749,MIL
458,204001,Kristaps Porzingis,Wizards,1610612764,WAS
460,203939,Dwight Powell,Mavericks,1610612742,DAL
461,1629619,Myles Powell,76ers,1610612755,PHI
